Callsign,Station Name,State,City,Postcode,Community of Interest,Suitability for Love Banana,Music Receptive,Submission Method,Contact Email,Website / Portal URL,Recommended Action,Notes
3RRR,Triple R (3RRR),VIC,BRUNSWICK EAST,3057,Educational,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@rrr.org.au,http://www.rrr.org.au/,Pitch directly to Music Department (music@rrr.org.au),Pitch directly to Music Coordinator (music@rrr.org.au) — The undisputed heavyweight of Australian independent music radio. Reaches over 1 million listeners. Mastered by Mikey Young is an instant selling point here.
3BBB,Voice FM,VIC,BALLARAT EAST,3350,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@voicefm.org.au,https://www.voicefm.org.au,Pitch directly to Music Department (music@voicefm.org.au),Pitch directly to Music Team (music@voicefm.org.au) — Ballarat regional community broadcaster.
3VYV,Yarra Valley FM 99.1,VIC,HEALESVILLE,3777,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@yarravalleyfm.com,http://www.yarravalleyfm.com,Pitch directly to Music Department (music@yarravalleyfm.com),Pitch directly to Music Director (music@yarravalleyfm.com) — Yarra Valley community broadcaster.
6HFM,107.3 HFM,WA,GOSNELLS,6990,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@hfm.radio,https://www.hfm.radio/,Pitch directly to Music Department (music@hfm.radio),Pitch directly to Music Submissions (music@hfm.radio) — South-East Perth community radio.
6TCR,89 7FM,WA,JOONDALUP,6027,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@897fm.com.au,http://www.897fm.com.au/,Pitch directly to Music Department (music@897fm.com.au),Pitch directly to Music Coordinator (music@897fm.com.au) — Perth northern suburbs community radio. High quota of Australian and independent tracks.
,Denmark FM,WA,Denmark,6333,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,info@denmarkfm.com.au,https://denmarkfm.com.au/,Pitch directly to Music Department (info@denmarkfm.com.au),Pitch directly to Music Coordinator (info@denmarkfm.com.au) — Vibrant Great Southern coastal WA community radio.
6KCR,KCR 88.9FM,WA,GOOSEBERRY HILL,6076,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@kcr-fm.org.au,http://www.kcr-fm.org.au/,Pitch directly to Music Department (music@kcr-fm.org.au),Pitch directly to Music Coordinator (music@kcr-fm.org.au) — Perth Hills community station.
6RMR,RMR 101.9,WA,Margaret River,6285,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,info@radiomargaretriver.com,https://www.radiomargaretriver.com/,Pitch directly to Music Department (info@radiomargaretriver.com),Pitch directly to Music Director (info@radiomargaretriver.com) — Margaret River cultural hub. Loves beachy garage-pop and indie rock.
6RTR,RTR FM,WA,MOUNT LAWLEY,6929,Educational/Specialised Music,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@rtrfm.com.au,http://www.rtrfm.com.au,Pitch directly to Music Department (music@rtrfm.com.au),Pitch directly to Music Director (music@rtrfm.com.au) — Western Australia's premier independent tastemaker. Critical airplay target for national indie credibility. Mikey Young master is huge here.
6CCR,Radio Fremantle,WA,HAMILTON HILL,6163,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,music@radiofremantle.com.au,https://www.radiofremantle.com.au/,Pitch directly to Music Department (music@radiofremantle.com.au),Pitch directly to Music Department (music@radiofremantle.com.au) — Fremantle port city community station with deep roots in WA's legendary indie scene.
1XXR,2 Double X (2XX FM),ACT,CIVIC,2601,General,High Priority (Major Youth / Alternative Tastemaker),Yes (Web Form),Web Portal: Online Music Submission Form,manager@2xxfm.org.au,https://www.2xxfm.org.au/get-involved/submit-music/,Submit via form at: https://www.2xxfm.org.au/get-involved/submit-music/,"Accepts downloadable WAV, FLAC, or 320kbps MP3 via links (Dropbox/Drive). Requires short bio, genre, social links, and track details."
2RRR,2RRR - Your Local Sound,NSW,GLADESVILLE,1675,General,High Priority (Major Youth / Alternative Tastemaker),Yes (Web Form),Web Portal: Dropbox Audio Request Portal,office@2rrr.org.au,https://www.dropbox.com/request/cUVsKyoL1kKsDznnW9d2,Submit via form at: https://www.dropbox.com/request/cUVsKyoL1kKsDznnW9d2,"Upload MP3 only (Dropbox space is limited; WAVs are deleted). Format filename as: ""Love Banana - Seagull [A] (Garage Pop) (.mp3)""."
2BAY,BAYFM 99.9,NSW,BYRON BAY,2481,General,High Priority (Major Youth / Alternative Tastemaker),Yes (Web Form),Web Portal: Website Form (Select Subject: Music),frontdesk@bayfm.org,https://www.bayfm.org/contact-us/,Submit via form at: https://www.bayfm.org/contact-us/,"In the contact form, select ""Music"" in the Subject dropdown, specify your genre, and paste your EPK/streaming and download links in the message."
5FBI,Fresh 92.7,SA,ADELAIDE,5000,Youth,High Priority (Major Youth / Alternative Tastemaker),Yes (Web Form),Web Portal: Fresh Music Submission Portal,music@fresh927.com.au,https://fresh927.com.au/music/submit-music/,Submit via form at: https://fresh927.com.au/music/submit-music/,"Upload track metadata, streaming link, download link, and bio via the online portal."
3SYN,SYN Media,VIC,ABECKETT STREET,8006,Youth,High Priority (Major Youth / Alternative Tastemaker),Yes (Web Form),Web Portal: Online Music Submission Form,music@syn.org.au,https://syn.org.au/music-submissions/,Submit via form at: https://syn.org.au/music-submissions/,"Enter track name, artist, streaming link, download link (WAV/MP3), and bio. Programs their weekly Sweet 16 and high rotation playlists."
2MMR,101.3 Mayhem Radio,NSW,TWEED HEADS WEST,2485,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@mayhemradio.com.au,https://mayhemradio.com.au/,Pitch directly to Music Department (info@mayhemradio.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for TWEED HEADS WEST NSW.
2AIR,2AIR FM,NSW,COFFS HARBOUR,2450,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@2airfm.com.au,http://www.2airfm.com.au,Pitch directly to Music Department (info@2airfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for COFFS HARBOUR NSW.
2CBD,2CBD FM,NSW,GLEN INNES,2370,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@radio2cbd.com.au,http://www.radio2cbd.com.au/,Pitch directly to Music Department (info@radio2cbd.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for GLEN INNES NSW.
2CHR,2CHR,NSW,CESSNOCK,2325,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@2chr.org,http://www.2chr.org,Pitch directly to Music Department (info@2chr.org),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for CESSNOCK NSW.
2CUZ,2CUZ FM,NSW,BOURKE,2840,Indigenous,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@2cuzfm.com,http://2cuzfm.com/,Pitch directly to Music Department (info@2cuzfm.com),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for BOURKE NSW.
2GHR,2GHR,NSW,HOLBROOK,2644,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@2ghr.org.au,http://2ghr.org.au/,Pitch directly to Music Department (info@2ghr.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for HOLBROOK NSW.
2HAY,2HAY FM 92.1,NSW,HAY,2711,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@2hayfm.com.au,http://www.2hayfm.com.au,Pitch directly to Music Department (info@2hayfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for HAY NSW.
2MNO,2MNO Monaro FM,NSW,COOMA,2630,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@2mno.org.au,http://www.2mno.org.au/,Pitch directly to Music Department (info@2mno.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for COOMA NSW.
2NAR,2NAR,NSW,NARRANDERA,2700,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@ncradio.com.au,http://www.ncradio.com.au/,Pitch directly to Music Department (info@ncradio.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for NARRANDERA NSW.
2NBC,2NBC 90.1FM,NSW,KOGARAH,1485,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@901nbcfm.com.au,https://www.901nbcfm.com.au/,Pitch directly to Music Department (info@901nbcfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for KOGARAH NSW.
2RBR,2RBR,NSW,CORAKI,2471,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@radio889.org.au,http://www.radio889.org.au,Pitch directly to Music Department (info@radio889.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for CORAKI NSW.
2REM,2REM 107.3FM,NSW,LAVINGTON,2641,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@2rem1073fm.com.au,http://www.2rem1073fm.com.au/,Pitch directly to Music Department (info@2rem1073fm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for LAVINGTON NSW.
2SEA,2SEA - Eden Community Radio,NSW,EDEN,2551,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@2sea.com.au,http://www.2sea.com.au,Pitch directly to Music Department (info@2sea.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for EDEN NSW.
2TLP,2TLP,NSW,TAREE,2430,Indigenous,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@ngarralinyi.com.au,https://ngarralinyi.com.au/,Pitch directly to Music Department (info@ngarralinyi.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for TAREE NSW.
2TVR,2TVR,NSW,TUMUT,2720,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@thelocalstation.com.au,https://thelocalstation.com.au/,Pitch directly to Music Department (info@thelocalstation.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for TUMUT NSW.
2WCR,2WCR FM 99.5,NSW,COONABARABRAN,2357,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@2wcrfm.org.au,http://2wcrfm.org.au/,Pitch directly to Music Department (info@2wcrfm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for COONABARABRAN NSW.
2WEB,2WEB,NSW,BOURKE,2840,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@outbackradio.com.au,http://www.outbackradio.com.au,Pitch directly to Music Department (info@outbackradio.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for BOURKE NSW.
2YYY,2YYY Young,NSW,YOUNG,2594,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@2yyyradio.com,http://2yyyradio.com/,Pitch directly to Music Department (info@2yyyradio.com),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for YOUNG NSW.
2BAR,93.7 EDGE FM,NSW,BEGA,2550,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@edgefm.org.au,https://edgefm.org.au/,Pitch directly to Music Department (info@edgefm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for BEGA NSW.
2MIA,95.1 2MIA FM,NSW,GRIFFITH,2680,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@2miafm.org.au,http://www.2miafm.org.au/,Pitch directly to Music Department (info@2miafm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for GRIFFITH NSW.
2LVR,97.9 Valley FM,NSW,FORBES,2871,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@valleyfm.org.au,http://valleyfm.org.au/,Pitch directly to Music Department (info@valleyfm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for FORBES NSW.
2CCR,Alive905,NSW,BAULKHAM HILLS,1755,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@alive905.com.au,https://www.alive905.com.au/,Pitch directly to Music Department (info@alive905.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for BAULKHAM HILLS NSW.
2BAB,Bay & Basin 92.7FM,NSW,SANCTUARY POINT,2540,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@927fm.com.au,http://www.927fm.com.au,Pitch directly to Music Department (info@927fm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for SANCTUARY POINT NSW.
2BJG,Binjang 91.5,NSW,WELLINGTON,2820,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@binjangradio.net,http://binjangradio.net,Pitch directly to Music Department (info@binjangradio.net),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for WELLINGTON NSW.
2BRW,Braidwood Community Radio,NSW,Braidwood,2622,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@braidwoodradio.com.au,http://www.braidwoodradio.com.au/,Pitch directly to Music Department (info@braidwoodradio.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for Braidwood NSW.
,Bucketts Radio 104.1 FM,NSW,GLOUCESTER,2422,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@buckettsradio.com.au,http://buckettsradio.com.au/,Pitch directly to Music Department (info@buckettsradio.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for GLOUCESTER NSW.
2COW,Casino's Own Wireless Association,NSW,CASINO WEST,2470,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@cow1079.org,http://www.cow1079.org/,Pitch directly to Music Department (info@cow1079.org),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for CASINO WEST NSW.
DC FM 88.9,DCFM 88.9,NSW,DUBBO,2830,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@dcfm889.com.au,http://www.dcfm889.com.au/,Pitch directly to Music Department (info@dcfm889.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for DUBBO NSW.
2MOR,Edge 102.5 FM,NSW,Deniliquin,2710,Youth,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@edge1025.com.au,https://edge1025.com.au/,Pitch directly to Music Department (info@edge1025.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Youth. Community broadcaster for Deniliquin NSW.
2OCW,FM107.5,NSW,ORANGE,2800,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@fm1075.com.au,http://fm1075.com.au/,Pitch directly to Music Department (info@fm1075.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for ORANGE NSW.
2KRR,KRR 98.7,NSW,KANDOS,2848,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@krrfm.org.au,http://krrfm.org.au,Pitch directly to Music Department (info@krrfm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for KANDOS NSW.
2OLD,Lake Macquarie FM 97.3,NSW,BUDGEWOI,2262,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@lakemacquariefm.com.au,https://www.lakemacquariefm.com.au,Pitch directly to Music Department (info@lakemacquariefm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for BUDGEWOI NSW.
,Lord Howe Island Radio Station,NSW,LORD HOWE ISLAND,2898,General,Regional Community Radio (General Music / Aussie Rock),Yes,Email or Amrap,,https://www.facebook.com/p/Radio-Lord-Howe-Island-The-Shack100063505209758/,Pitch via Email or Amrap (Local volunteer DJs play Aussie indie),Format: General. Community broadcaster for LORD HOWE ISLAND NSW.
2MAX,MAX FM,NSW,NARRABRI,2390,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@2maxfm.com.au,http://www.2maxfm.com.au,Pitch directly to Music Department (info@2maxfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for NARRABRI NSW.
2MTM,MTM FM 91.9,NSW,COONAMBLE,2829,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@mtmfm.org.au,http://www.mtmfm.org.au/,Pitch directly to Music Department (info@mtmfm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for COONAMBLE NSW.
Online Only,Myall Coast Radio,NSW,Tea Gardens,2324,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@myallcoastradio.com.au,http://www.myallcoastradio.com.au,Pitch directly to Music Department (info@myallcoastradio.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for Tea Gardens NSW.
2NVR,Nambucca Valley Radio,NSW,BOWRAVILLE,2449,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@2nvr.org.au,http://www.2nvr.org.au,Pitch directly to Music Department (info@2nvr.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for BOWRAVILLE NSW.
2LRR,Opal FM,NSW,LIGHTNING RIDGE,2834,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@opalfm.com,http://www.opalfm.com/,Pitch directly to Music Department (info@opalfm.com),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for LIGHTNING RIDGE NSW.
2PSR,Port Stephens FM,NSW,SALAMANDER BAY,2317,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@psrfm.org.au,http://www.psrfm.org.au,Pitch directly to Music Department (info@psrfm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for SALAMANDER BAY NSW.
2GCR,RAMFM 103.3,NSW,GOULBURN,2580,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@ramfm.com.au,https://www.ramfm.com.au,Pitch directly to Music Department (info@ramfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for GOULBURN NSW.
,Radio Dungog 107.9FM,NSW,DUNGOG,2420,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@radiodungog.org,https://radiodungog.org/,Pitch directly to Music Department (info@radiodungog.org),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for DUNGOG NSW.
Online Only,Radio KCR,NSW,KIAMA,2533,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@kcr.org.au,https://kcr.org.au/,Pitch directly to Music Department (info@kcr.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for KIAMA NSW.
VL2NI,Radio Norfolk,NSW,NORFOLK ISLAND,2899,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@radio.gov.nf,http://www.radio.gov.nf/vl2ni.htm,Pitch directly to Music Department (info@radio.gov.nf),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for NORFOLK ISLAND NSW.
2STA,STA FM 91.9,NSW,Inverell,2360,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@stafm.com.au,http://www.stafm.com.au/,Pitch directly to Music Department (info@stafm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for Inverell NSW.
2MCR,Sounds of Macarthur,NSW,CAMPBELLTOWN,2560,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@soundsofmacarthur.org.au,http://www.soundsofmacarthur.org.au,Pitch directly to Music Department (info@soundsofmacarthur.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for CAMPBELLTOWN NSW.
2TEM,TEM-FM 102.5,NSW,TEMORA,2666,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@tem-fm.com.au,http://www.tem-fm.com.au,Pitch directly to Music Department (info@tem-fm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for TEMORA NSW.
2TEN,TEN FM,NSW,TENTERFIELD,2372,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@tenfm.org.au,http://www.tenfm.org.au,Pitch directly to Music Department (info@tenfm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for TENTERFIELD NSW.
2TLC,TLC 93.5FM,NSW,YAMBA,2464,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@tlcfm.com.au,http://tlcfm.com.au/,Pitch directly to Music Department (info@tlcfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for YAMBA NSW.
2TRR,Three Rivers Radio - Dunedoo,NSW,DUNEDOO,2844,General,Regional Community Radio (General Music / Aussie Rock),Yes,Email or Amrap,,https://www.facebook.com/3riversradio/,Pitch via Email or Amrap (Local volunteer DJs play Aussie indie),Format: General. Community broadcaster for DUNEDOO NSW.
2CCM,Todays Country 94.1,NSW,GOSFORD,2250,Specialised Music,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@todayscountry94one.com,http://www.todayscountry94one.com,Pitch directly to Music Department (info@todayscountry94one.com),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Specialised Music. Community broadcaster for GOSFORD NSW.
2WAR,WAR FM,NSW,GILGANDRA,2827,General,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@989warfm.com.au,https://989warfm.com.au/,Pitch directly to Music Department (info@989warfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for GILGANDRA NSW.
,Wilcannia River Radio,NSW,DUBBO EAST,2830,Indigenous,High Priority (Regional Community (NSW)),Yes (Direct Email),Direct Email Pitch,info@redie.org.au,https://redie.org.au/what-we-do/programs/wilcannia-river-radio,Pitch directly to Music Department (info@redie.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for DUBBO EAST NSW.
5ACR,5ACR AMATA,NT,PMB UMUWA VIA ALICE SPRINGS,0872,Indigenous,High Priority (Regional Community (NT)),Yes (Direct Email),Direct Email Pitch,admin@pymedia.org.au,http://www.pymedia.org.au/radio/,Pitch directly to Music Department (admin@pymedia.org.au),Best submitted via Amrap (broadcasters download tracks directly from Amrap) — Format: Indigenous. Community broadcaster for PMB UMUWA VIA ALICE SPRINGS NT.
8ACR,8PAW Paw Radio,NT,YUENDUMU,0872,Indigenous,High Priority (Regional Community (NT)),Yes (Direct Email),Direct Email Pitch,admin@teabba.com.au,http://www.teabba.com.au,Pitch directly to Music Department (admin@teabba.com.au),Best submitted via Amrap (broadcasters download tracks directly from Amrap) — Format: Indigenous. Community broadcaster for PINELAND NT.
8KIN,CAAMA Radio CENTRAL ZONE,NT,ALICE SPRINGS,0871,Indigenous,High Priority (Regional Community (NT)),Yes (Direct Email),Direct Email Pitch,info@caama.com.au,http://www.caama.com.au,Pitch directly to Music Department (info@caama.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for ALICE SPRINGS NT.
8KNB,First Nations Radio,NT,DARWIN,0801,Indigenous,High Priority (Regional Community (NT)),Yes (Direct Email),Direct Email Pitch,info@firstnationsbroadcasting.org,http://www.firstnationsbroadcasting.org,Pitch directly to Music Department (info@firstnationsbroadcasting.org),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for DARWIN NT.
8KTR,Katherine FM,NT,KATHERINE,0851,General,High Priority (Regional Community (NT)),Yes (Direct Email),Direct Email Pitch,info@katherinefm.org.au,https://katherinefm.org.au/,Pitch directly to Music Department (info@katherinefm.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for KATHERINE NT.
6ACR,NG Media,NT,ALICE SPRINGS,0872,Indigenous,High Priority (Regional Community (NT)),Yes (Direct Email),Direct Email Pitch,info@ngmedia.org.au,https://ngmedia.org.au,Pitch directly to Music Department (info@ngmedia.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for ALICE SPRINGS NT.
8ACR,TEABBA 8ACR,NT,PINELAND,0829,Indigenous,High Priority (Regional Community (NT)),Yes (Direct Email),Direct Email Pitch,admin@teabba.com.au,http://www.teabba.com.au,Pitch directly to Music Department (admin@teabba.com.au),Best submitted via Amrap (broadcasters download tracks directly from Amrap) — Format: Indigenous. Community broadcaster for PINELAND NT.
,Yolngu Radio,NT,WINNELLIE,0821,Indigenous,High Priority (Regional Community (NT)),Yes (Direct Email),Direct Email Pitch,info@ards.com.au,http://www.ards.com.au,Pitch directly to Music Department (info@ards.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for WINNELLIE NT.
4DDB,102.7FM,QLD,TOOWOOMBA,4350,General,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@1027.com.au,https://1027.com.au/,Pitch directly to Music Department (info@1027.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for TOOWOOMBA QLD.
4ACR,4ACR BOIGU ISLAND,QLD,BOIGU ISLAND,4875,Torres Strait Islanders,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@qram.com.au,http://www.qram.com.au,Pitch directly to Music Department (info@qram.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for CAIRNS NORTH QLD.
4GGO,4GGO,QLD,GIN GIN,4671,General,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@ginginsown1049.com,https://ginginsown1049.com/,Pitch directly to Music Department (info@ginginsown1049.com),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for GIN GIN QLD.
4K1G,4K1G,QLD,TOWNSVILLE,4810,Indigenous,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@4k1g.org,http://www.4k1g.org,Pitch directly to Music Department (info@4k1g.org),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for TOWNSVILLE QLD.
4MOB,4MOB,QLD,MOUNT ISA DC,4825,Indigenous,High Priority (Regional Community (QLD)),Yes (Direct Email),Direct Email Pitch,info@miama.com.au,https://miama.com.au/,Pitch directly to Music Department (info@miama.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for MOUNT ISA DC QLD.
