Callsign,Station Name,State,City,Postcode,Region / Pitch Category,Contact Email,Website URL,Format & Fit,Recommended Action / Pitch Notes
2MMR,101.3 Mayhem Radio,NSW,TWEED HEADS WEST,2485,Regional Community (NSW),info@mayhemradio.com.au,https://mayhemradio.com.au/,General,Pitch directly to Music Department (info@mayhemradio.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for TWEED HEADS WEST NSW.
2AIR,2AIR FM,NSW,COFFS HARBOUR,2450,Regional Community (NSW),info@2airfm.com.au,http://www.2airfm.com.au,General,Pitch directly to Music Department (info@2airfm.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for COFFS HARBOUR NSW.
2CBD,2CBD FM,NSW,GLEN INNES,2370,Regional Community (NSW),info@radio2cbd.com.au,http://www.radio2cbd.com.au/,General,Pitch directly to Music Department (info@radio2cbd.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for GLEN INNES NSW.
2CHR,2CHR,NSW,CESSNOCK,2325,Regional Community (NSW),info@2chr.org,http://www.2chr.org,General,Pitch directly to Music Department (info@2chr.org) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for CESSNOCK NSW.
2CUZ,2CUZ FM,NSW,BOURKE,2840,Regional Community (NSW),info@2cuzfm.com,http://2cuzfm.com/,Indigenous,Pitch directly to Music Department (info@2cuzfm.com) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for BOURKE NSW.
2GHR,2GHR,NSW,HOLBROOK,2644,Regional Community (NSW),info@2ghr.org.au,http://2ghr.org.au/,General,Pitch directly to Music Department (info@2ghr.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for HOLBROOK NSW.
2HAY,2HAY FM 92.1,NSW,HAY,2711,Regional Community (NSW),info@2hayfm.com.au,http://www.2hayfm.com.au,General,Pitch directly to Music Department (info@2hayfm.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for HAY NSW.
2MNO,2MNO Monaro FM,NSW,COOMA,2630,Regional Community (NSW),info@2mno.org.au,http://www.2mno.org.au/,General,Pitch directly to Music Department (info@2mno.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for COOMA NSW.
2NAR,2NAR,NSW,NARRANDERA,2700,Regional Community (NSW),info@ncradio.com.au,http://www.ncradio.com.au/,General,Pitch directly to Music Department (info@ncradio.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for NARRANDERA NSW.
2NBC,2NBC 90.1FM,NSW,KOGARAH,1485,Regional Community (NSW),info@901nbcfm.com.au,https://www.901nbcfm.com.au/,General,Pitch directly to Music Department (info@901nbcfm.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for KOGARAH NSW.
2RBR,2RBR,NSW,CORAKI,2471,Regional Community (NSW),info@radio889.org.au,http://www.radio889.org.au,General,Pitch directly to Music Department (info@radio889.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for CORAKI NSW.
2REM,2REM 107.3FM,NSW,LAVINGTON,2641,Regional Community (NSW),info@2rem1073fm.com.au,http://www.2rem1073fm.com.au/,General,Pitch directly to Music Department (info@2rem1073fm.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for LAVINGTON NSW.
2SEA,2SEA - Eden Community Radio,NSW,EDEN,2551,Regional Community (NSW),info@2sea.com.au,http://www.2sea.com.au,General,Pitch directly to Music Department (info@2sea.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for EDEN NSW.
2TLP,2TLP,NSW,TAREE,2430,Regional Community (NSW),info@ngarralinyi.com.au,https://ngarralinyi.com.au/,Indigenous,Pitch directly to Music Department (info@ngarralinyi.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for TAREE NSW.
2TVR,2TVR,NSW,TUMUT,2720,Regional Community (NSW),info@thelocalstation.com.au,https://thelocalstation.com.au/,General,Pitch directly to Music Department (info@thelocalstation.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for TUMUT NSW.
2WCR,2WCR FM 99.5,NSW,COONABARABRAN,2357,Regional Community (NSW),info@2wcrfm.org.au,http://2wcrfm.org.au/,General,Pitch directly to Music Department (info@2wcrfm.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for COONABARABRAN NSW.
2WEB,2WEB,NSW,BOURKE,2840,Regional Community (NSW),info@outbackradio.com.au,http://www.outbackradio.com.au,General,Pitch directly to Music Department (info@outbackradio.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for BOURKE NSW.
2YYY,2YYY Young,NSW,YOUNG,2594,Regional Community (NSW),info@2yyyradio.com,http://2yyyradio.com/,General,Pitch directly to Music Department (info@2yyyradio.com) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for YOUNG NSW.
2BAR,93.7 EDGE FM,NSW,BEGA,2550,Regional Community (NSW),info@edgefm.org.au,https://edgefm.org.au/,General,Pitch directly to Music Department (info@edgefm.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for BEGA NSW.
2MIA,95.1 2MIA FM,NSW,GRIFFITH,2680,Regional Community (NSW),info@2miafm.org.au,http://www.2miafm.org.au/,General,Pitch directly to Music Department (info@2miafm.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for GRIFFITH NSW.
2LVR,97.9 Valley FM,NSW,FORBES,2871,Regional Community (NSW),info@valleyfm.org.au,http://valleyfm.org.au/,General,Pitch directly to Music Department (info@valleyfm.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for FORBES NSW.
2CCR,Alive905,NSW,BAULKHAM HILLS,1755,Regional Community (NSW),info@alive905.com.au,https://www.alive905.com.au/,General,Pitch directly to Music Department (info@alive905.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for BAULKHAM HILLS NSW.
2BAB,Bay & Basin 92.7FM,NSW,SANCTUARY POINT,2540,Regional Community (NSW),info@927fm.com.au,http://www.927fm.com.au,General,Pitch directly to Music Department (info@927fm.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for SANCTUARY POINT NSW.
2BJG,Binjang 91.5,NSW,WELLINGTON,2820,Regional Community (NSW),info@binjangradio.net,http://binjangradio.net,General,Pitch directly to Music Department (info@binjangradio.net) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for WELLINGTON NSW.
2BRW,Braidwood Community Radio,NSW,Braidwood,2622,Regional Community (NSW),info@braidwoodradio.com.au,http://www.braidwoodradio.com.au/,General,Pitch directly to Music Department (info@braidwoodradio.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for Braidwood NSW.
,Bucketts Radio 104.1 FM,NSW,GLOUCESTER,2422,Regional Community (NSW),info@buckettsradio.com.au,http://buckettsradio.com.au/,General,Pitch directly to Music Department (info@buckettsradio.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for GLOUCESTER NSW.
2COW,Casino's Own Wireless Association,NSW,CASINO WEST,2470,Regional Community (NSW),info@cow1079.org,http://www.cow1079.org/,General,Pitch directly to Music Department (info@cow1079.org) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for CASINO WEST NSW.
DC FM 88.9,DCFM 88.9,NSW,DUBBO,2830,Regional Community (NSW),info@dcfm889.com.au,http://www.dcfm889.com.au/,General,Pitch directly to Music Department (info@dcfm889.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for DUBBO NSW.
2MOR,Edge 102.5 FM,NSW,Deniliquin,2710,Regional Community (NSW),info@edge1025.com.au,https://edge1025.com.au/,Youth,Pitch directly to Music Department (info@edge1025.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Youth. Community broadcaster for Deniliquin NSW.
2OCW,FM107.5,NSW,ORANGE,2800,Regional Community (NSW),info@fm1075.com.au,http://fm1075.com.au/,General,Pitch directly to Music Department (info@fm1075.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for ORANGE NSW.
2KRR,KRR 98.7,NSW,KANDOS,2848,Regional Community (NSW),info@krrfm.org.au,http://krrfm.org.au,General,Pitch directly to Music Department (info@krrfm.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for KANDOS NSW.
2OLD,Lake Macquarie FM 97.3,NSW,BUDGEWOI,2262,Regional Community (NSW),info@lakemacquariefm.com.au,https://www.lakemacquariefm.com.au,General,Pitch directly to Music Department (info@lakemacquariefm.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for BUDGEWOI NSW.
2MAX,MAX FM,NSW,NARRABRI,2390,Regional Community (NSW),info@2maxfm.com.au,http://www.2maxfm.com.au,General,Pitch directly to Music Department (info@2maxfm.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for NARRABRI NSW.
2MTM,MTM FM 91.9,NSW,COONAMBLE,2829,Regional Community (NSW),info@mtmfm.org.au,http://www.mtmfm.org.au/,General,Pitch directly to Music Department (info@mtmfm.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for COONAMBLE NSW.
Online Only,Myall Coast Radio,NSW,Tea Gardens,2324,Regional Community (NSW),info@myallcoastradio.com.au,http://www.myallcoastradio.com.au,General,Pitch directly to Music Department (info@myallcoastradio.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for Tea Gardens NSW.
2NVR,Nambucca Valley Radio,NSW,BOWRAVILLE,2449,Regional Community (NSW),info@2nvr.org.au,http://www.2nvr.org.au,General,Pitch directly to Music Department (info@2nvr.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for BOWRAVILLE NSW.
2LRR,Opal FM,NSW,LIGHTNING RIDGE,2834,Regional Community (NSW),info@opalfm.com,http://www.opalfm.com/,General,Pitch directly to Music Department (info@opalfm.com) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for LIGHTNING RIDGE NSW.
2PSR,Port Stephens FM,NSW,SALAMANDER BAY,2317,Regional Community (NSW),info@psrfm.org.au,http://www.psrfm.org.au,General,Pitch directly to Music Department (info@psrfm.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for SALAMANDER BAY NSW.
2GCR,RAMFM 103.3,NSW,GOULBURN,2580,Regional Community (NSW),info@ramfm.com.au,https://www.ramfm.com.au,General,Pitch directly to Music Department (info@ramfm.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for GOULBURN NSW.
,Radio Dungog 107.9FM,NSW,DUNGOG,2420,Regional Community (NSW),info@radiodungog.org,https://radiodungog.org/,General,Pitch directly to Music Department (info@radiodungog.org) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for DUNGOG NSW.
Online Only,Radio KCR,NSW,KIAMA,2533,Regional Community (NSW),info@kcr.org.au,https://kcr.org.au/,General,Pitch directly to Music Department (info@kcr.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for KIAMA NSW.
VL2NI,Radio Norfolk,NSW,NORFOLK ISLAND,2899,Regional Community (NSW),info@radio.gov.nf,http://www.radio.gov.nf/vl2ni.htm,General,Pitch directly to Music Department (info@radio.gov.nf) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for NORFOLK ISLAND NSW.
2STA,STA FM 91.9,NSW,Inverell,2360,Regional Community (NSW),info@stafm.com.au,http://www.stafm.com.au/,General,Pitch directly to Music Department (info@stafm.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for Inverell NSW.
2MCR,Sounds of Macarthur,NSW,CAMPBELLTOWN,2560,Regional Community (NSW),info@soundsofmacarthur.org.au,http://www.soundsofmacarthur.org.au,General,Pitch directly to Music Department (info@soundsofmacarthur.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for CAMPBELLTOWN NSW.
2TEM,TEM-FM 102.5,NSW,TEMORA,2666,Regional Community (NSW),info@tem-fm.com.au,http://www.tem-fm.com.au,General,Pitch directly to Music Department (info@tem-fm.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for TEMORA NSW.
2TEN,TEN FM,NSW,TENTERFIELD,2372,Regional Community (NSW),info@tenfm.org.au,http://www.tenfm.org.au,General,Pitch directly to Music Department (info@tenfm.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for TENTERFIELD NSW.
2TLC,TLC 93.5FM,NSW,YAMBA,2464,Regional Community (NSW),info@tlcfm.com.au,http://tlcfm.com.au/,General,Pitch directly to Music Department (info@tlcfm.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for YAMBA NSW.
2CCM,Todays Country 94.1,NSW,GOSFORD,2250,Regional Community (NSW),info@todayscountry94one.com,http://www.todayscountry94one.com,Specialised Music,Pitch directly to Music Department (info@todayscountry94one.com) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Specialised Music. Community broadcaster for GOSFORD NSW.
2WAR,WAR FM,NSW,GILGANDRA,2827,Regional Community (NSW),info@989warfm.com.au,https://989warfm.com.au/,General,Pitch directly to Music Department (info@989warfm.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for GILGANDRA NSW.
,Wilcannia River Radio,NSW,DUBBO EAST,2830,Regional Community (NSW),info@redie.org.au,https://redie.org.au/what-we-do/programs/wilcannia-river-radio,Indigenous,Pitch directly to Music Department (info@redie.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for DUBBO EAST NSW.
5ACR,5ACR AMATA,NT,PMB UMUWA VIA ALICE SPRINGS,0872,Regional Community (NT),admin@pymedia.org.au,http://www.pymedia.org.au/radio/,Indigenous,Pitch directly to Music Department (admin@pymedia.org.au) — Best submitted via Amrap (broadcasters download tracks directly from Amrap) — Format: Indigenous. Community broadcaster for PMB UMUWA VIA ALICE SPRINGS NT.
8ACR,8PAW Paw Radio,NT,YUENDUMU,0872,Regional Community (NT),admin@teabba.com.au,http://www.teabba.com.au,Indigenous,Pitch directly to Music Department (admin@teabba.com.au) — Best submitted via Amrap (broadcasters download tracks directly from Amrap) — Format: Indigenous. Community broadcaster for PINELAND NT.
8KIN,CAAMA Radio CENTRAL ZONE,NT,ALICE SPRINGS,0871,Regional Community (NT),info@caama.com.au,http://www.caama.com.au,Indigenous,Pitch directly to Music Department (info@caama.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for ALICE SPRINGS NT.
8KNB,First Nations Radio,NT,DARWIN,0801,Regional Community (NT),info@firstnationsbroadcasting.org,http://www.firstnationsbroadcasting.org,Indigenous,Pitch directly to Music Department (info@firstnationsbroadcasting.org) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for DARWIN NT.
8KTR,Katherine FM,NT,KATHERINE,0851,Regional Community (NT),info@katherinefm.org.au,https://katherinefm.org.au/,General,Pitch directly to Music Department (info@katherinefm.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for KATHERINE NT.
6ACR,NG Media,NT,ALICE SPRINGS,0872,Regional Community (NT),info@ngmedia.org.au,https://ngmedia.org.au,Indigenous,Pitch directly to Music Department (info@ngmedia.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for ALICE SPRINGS NT.
8ACR,TEABBA 8ACR,NT,PINELAND,0829,Regional Community (NT),admin@teabba.com.au,http://www.teabba.com.au,Indigenous,Pitch directly to Music Department (admin@teabba.com.au) — Best submitted via Amrap (broadcasters download tracks directly from Amrap) — Format: Indigenous. Community broadcaster for PINELAND NT.
,Yolngu Radio,NT,WINNELLIE,0821,Regional Community (NT),info@ards.com.au,http://www.ards.com.au,Indigenous,Pitch directly to Music Department (info@ards.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for WINNELLIE NT.
4DDB,102.7FM,QLD,TOOWOOMBA,4350,Regional Community (QLD),info@1027.com.au,https://1027.com.au/,General,Pitch directly to Music Department (info@1027.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for TOOWOOMBA QLD.
4ACR,4ACR BOIGU ISLAND,QLD,BOIGU ISLAND,4875,Regional Community (QLD),info@qram.com.au,http://www.qram.com.au,Torres Strait Islanders,Pitch directly to Music Department (info@qram.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for CAIRNS NORTH QLD.
4GGO,4GGO,QLD,GIN GIN,4671,Regional Community (QLD),info@ginginsown1049.com,https://ginginsown1049.com/,General,Pitch directly to Music Department (info@ginginsown1049.com) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for GIN GIN QLD.
4K1G,4K1G,QLD,TOWNSVILLE,4810,Regional Community (QLD),info@4k1g.org,http://www.4k1g.org,Indigenous,Pitch directly to Music Department (info@4k1g.org) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for TOWNSVILLE QLD.
4MOB,4MOB,QLD,MOUNT ISA DC,4825,Regional Community (QLD),info@miama.com.au,https://miama.com.au/,Indigenous,Pitch directly to Music Department (info@miama.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for MOUNT ISA DC QLD.
4PIB,4PIB,QLD,PALM ISLAND,4816,Regional Community (QLD),info@pcyc.org.au,http://www.pcyc.org.au/palmisland,Indigenous,Pitch directly to Music Department (info@pcyc.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for PALM ISLAND QLD.
4RFM,4RFM Moranbah Community Radio,QLD,MORANBAH,4744,Regional Community (QLD),info@4rfm.com.au,http://4rfm.com.au/,General,Pitch directly to Music Department (info@4rfm.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for MORANBAH QLD.
4RR,4RR,QLD,CHARLEVILLE,4470,Regional Community (QLD),info@4rr.com.au,http://www.4rr.com.au,Indigenous,Pitch directly to Music Department (info@4rr.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for CHARLEVILLE QLD.
4US,4US,QLD,ROCKHAMPTON,4700,Regional Community (QLD),info@4us.com.au,http://www.4us.com.au/,Indigenous,Pitch directly to Music Department (info@4us.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for ROCKHAMPTON QLD.
4ACR,4mw1260 am Thursday Island,QLD,THURSDAY ISLAND,4875,Regional Community (QLD),info@qram.com.au,http://www.qram.com.au,Torres Strait Islanders,Pitch directly to Music Department (info@qram.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for CAIRNS NORTH QLD.
4GEM,95.1 GEM FM,QLD,BOWEN,4805,Regional Community (QLD),info@951gemfm.org,https://www.951gemfm.org/,General,Pitch directly to Music Department (info@951gemfm.org) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for BOWEN QLD.
4BAY,Bay FM,QLD,CLEVELAND,4163,Regional Community (QLD),info@bayfm.org.au,http://www.bayfm.org.au,General,Pitch directly to Music Department (info@bayfm.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for CLEVELAND QLD.
4ACR,Black Star Radio,QLD,CAIRNS NORTH,4870,Regional Community (QLD),info@qram.com.au,http://www.qram.com.au,Indigenous,Pitch directly to Music Department (info@qram.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for CAIRNS NORTH QLD.
4CIM,Bumma Bippera Media 98.7FM,QLD,BUNGALOW,4870,Regional Community (QLD),info@bbm987.com.au,https://bbm987.com.au/,Indigenous,Pitch directly to Music Department (info@bbm987.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for BUNGALOW QLD.
4CSB,CROW FM,QLD,WONDAI,4606,Regional Community (QLD),info@crowfm.com.au,http://www.crowfm.com.au,General,Pitch directly to Music Department (info@crowfm.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for WONDAI QLD.
,Cherbourg Radio,QLD,Cherbourg,4605,Regional Community (QLD),info@cherbourg.qld.gov.au,https://cherbourg.qld.gov.au/community/cherbourg-radio/,Indigenous,Pitch directly to Music Department (info@cherbourg.qld.gov.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for Cherbourg QLD.
4BCR,Coral Coast Community Radio 94.7 FM,QLD,BUNDABERG SOUTH,4670,Regional Community (QLD),info@coralcoastradio.net.au,http://www.coralcoastradio.net.au,General,Pitch directly to Music Department (info@coralcoastradio.net.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for BUNDABERG SOUTH QLD.
,Douglas FM,QLD,Port Douglas,4877,Regional Community (QLD),info@douglasfm.au,https://www.douglasfm.au/,General,Pitch directly to Music Department (info@douglasfm.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for Port Douglas QLD.
4NAG,KeppelFM 91.3,QLD,YEPPOON,4703,Regional Community (QLD),info@keppelfm.org.au,http://keppelfm.org.au/,General,Pitch directly to Music Department (info@keppelfm.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for YEPPOON QLD.
4MUR,My105.9FM,QLD,MACKAY,4740,Regional Community (QLD),info@my105fm.com.au,https://my105fm.com.au/,Indigenous,Pitch directly to Music Department (info@my105fm.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for MACKAY QLD.
Online Only,Phoenix Radio,QLD,RACEVIEW,4305,Regional Community (QLD),info@phoenixradi2.wixsite.com,https://phoenixradi2.wixsite.com/phoenixradio/home,General,Pitch directly to Music Department (info@phoenixradi2.wixsite.com) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for RACEVIEW QLD.
4YOU,Radio 4YOU,QLD,WANDAL,4700,Regional Community (QLD),info@4you.org.au,http://www.4you.org.au/,General,Pitch directly to Music Department (info@4you.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for WANDAL QLD.
4CBL,Radio Logan 101 FM,QLD,LOGAN CITY DC,4114,Regional Community (QLD),info@101fm.com.au,https://101fm.com.au/,General,Pitch directly to Music Department (info@101fm.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for LOGAN CITY DC QLD.
4RIM,Rim FM 100.1,QLD,BOONAH,4310,Regional Community (QLD),info@rimfm.org,http://www.rimfm.org/,General,Pitch directly to Music Department (info@rimfm.org) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for BOONAH QLD.
4SDB,Rose City FM,QLD,WARWICK,4370,Regional Community (QLD),info@rosecityfm.org.au,https://rosecityfm.org.au/,General,Pitch directly to Music Department (info@rosecityfm.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for WARWICK QLD.
4AAA,Triple A,QLD,WEST END,4101,Regional Community (QLD),info@triplea.org.au,https://triplea.org.au/,Indigenous,Pitch directly to Music Department (info@triplea.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for WEST END QLD.
4DDD,Western Downs Region Radio,QLD,DALBY,4405,Regional Community (QLD),info@radio4ddd.com.au,http://www.radio4ddd.com.au/,General,Pitch directly to Music Department (info@radio4ddd.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for DALBY QLD.
4WHO,Wild Horse FM,QLD,YARRAMAN,4614,Regional Community (QLD),info@wildhorsefm.com,http://www.wildhorsefm.com/,General,Pitch directly to Music Department (info@wildhorsefm.com) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for YARRAMAN QLD.
5ZZZ,5 Triple Z,SA,MCLAREN VALE,5171,Regional Community (SA),info@5triplez.com.au,http://5triplez.com.au/,General,Pitch directly to Music Department (info@5triplez.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for MCLAREN VALE SA.
5GTR,5GTR,SA,MOUNT GAMBIER,5290,Regional Community (SA),info@5gtr.net,http://www.5gtr.net,General,Pitch directly to Music Department (info@5gtr.net) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for MOUNT GAMBIER SA.
5KIX,5KIX-FM,SA,KINGSCOTE,5223,Regional Community (SA),info@5kixfm.org,http://www.5kixfm.org,General,Pitch directly to Music Department (info@5kixfm.org) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for KINGSCOTE SA.
5PBS,5PBS,SA,Peterborough,5422,Regional Community (SA),info@5pbs.org.au,http://5pbs.org.au,General,Pitch directly to Music Department (info@5pbs.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for Peterborough SA.
5THE,5THE FM,SA,MILLICENT,5280,Regional Community (SA),info@5-thefm.org,https://www.5-thefm.org/,General,Pitch directly to Music Department (info@5-thefm.org) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for MILLICENT SA.
5GFM,89.3 Gulf FM,SA,KADINA,5554,Regional Community (SA),info@gulffm.com.au,http://www.gulffm.com.au/,General,Pitch directly to Music Department (info@gulffm.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for KADINA SA.
5GSFM,90.1 HAPPY FM,SA,VICTOR HARBOR,5211,Regional Community (SA),info@happyfm.org.au,http://www.happyfm.org.au,General,Pitch directly to Music Department (info@happyfm.org.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for VICTOR HARBOR SA.
5ALX,Alex FM Radio Goolwa,SA,GOOLWA,5214,Regional Community (SA),info@alexfm.com.au,https://www.alexfm.com.au/,General,Pitch directly to Music Department (info@alexfm.com.au) — Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for GOOLWA SA.
